datetime,pulse,category,ts_number
2021-01-01,52.0,pro_athlete,1_1
2021-01-02,57.0,pro_athlete,1_1
2021-01-03,54.0,pro_athlete,1_1
2021-01-04,52.0,pro_athlete,1_1
2021-01-05,50.0,pro_athlete,1_1
2021-01-06,58.0,pro_athlete,1_1
2021-01-07,55.0,pro_athlete,1_1
2021-01-08,51.0,pro_athlete,1_1
2021-01-09,59.0,pro_athlete,1_1
2021-01-10,54.0,pro_athlete,1_1
2021-01-11,51.0,pro_athlete,1_1
2021-01-12,50.0,pro_athlete,1_1
2021-01-13,46.0,pro_athlete,1_1
2021-01-14,52.0,pro_athlete,1_1
2021-01-15,49.0,pro_athlete,1_1
2021-01-16,46.0,pro_athlete,1_1
2021-01-17,51.0,pro_athlete,1_1
2021-01-18,58.0,pro_athlete,1_1
2021-01-19,47.0,pro_athlete,1_1
2021-01-20,47.0,pro_athlete,1_1
2021-01-21,53.0,pro_athlete,1_1
2021-01-22,51.0,pro_athlete,1_1
2021-01-23,50.0,pro_athlete,1_1
2021-01-24,53.0,pro_athlete,1_1
2021-01-25,56.0,pro_athlete,1_1
2021-01-26,43.0,pro_athlete,1_1
2021-01-27,49.0,pro_athlete,1_1
2021-01-28,51.0,pro_athlete,1_1
2021-01-29,51.0,pro_athlete,1_1
2021-01-30,51.0,pro_athlete,1_1
2021-01-31,48.0,pro_athlete,1_1
2021-02-01,58.0,pro_athlete,1_1
2021-02-02,44.0,pro_athlete,1_1
2021-02-03,51.0,pro_athlete,1_1
2021-02-04,54.0,pro_athlete,1_1
2021-02-05,60.0,pro_athlete,1_1
2021-02-06,46.0,pro_athlete,1_1
2021-02-07,53.0,pro_athlete,1_1
2021-02-08,59.0,pro_athlete,1_1
2021-02-09,48.0,pro_athlete,1_1
2021-02-10,56.0,pro_athlete,1_1
2021-02-11,49.0,pro_athlete,1_1
2021-02-12,52.0,pro_athlete,1_1
2021-02-13,51.0,pro_athlete,1_1
2021-02-14,43.0,pro_athlete,1_1
2021-02-15,50.0,pro_athlete,1_1
2021-02-16,56.0,pro_athlete,1_1
2021-02-17,56.0,pro_athlete,1_1
2021-02-18,45.0,pro_athlete,1_1
2021-02-19,53.0,pro_athlete,1_1
2021-02-20,48.0,pro_athlete,1_1
2021-02-21,50.0,pro_athlete,1_1
2021-02-22,49.0,pro_athlete,1_1
2021-02-23,50.0,pro_athlete,1_1
2021-02-24,47.0,pro_athlete,1_1
2021-02-25,53.0,pro_athlete,1_1
2021-02-26,47.0,pro_athlete,1_1
2021-02-27,53.0,pro_athlete,1_1
2021-02-28,58.0,pro_athlete,1_1
2021-03-01,48.0,pro_athlete,1_1
2021-03-02,54.0,pro_athlete,1_1
2021-03-03,49.0,pro_athlete,1_1
2021-03-04,51.0,pro_athlete,1_1
2021-03-05,59.0,pro_athlete,1_1
2021-03-06,55.0,pro_athlete,1_1
2021-03-07,46.0,pro_athlete,1_1
2021-03-08,54.0,pro_athlete,1_1
2021-03-09,50.0,pro_athlete,1_1
2021-03-10,52.0,pro_athlete,1_1
2021-03-11,57.0,pro_athlete,1_1
2021-03-12,54.0,pro_athlete,1_1
2021-03-13,55.0,pro_athlete,1_1
2021-03-14,54.0,pro_athlete,1_1
2021-03-15,56.0,pro_athlete,1_1
2021-03-16,51.0,pro_athlete,1_1
2021-03-17,61.0,pro_athlete,1_1
2021-03-18,51.0,pro_athlete,1_1
2021-03-19,49.0,pro_athlete,1_1
2021-03-20,42.0,pro_athlete,1_1
2021-03-21,46.0,pro_athlete,1_1
2021-03-22,54.0,pro_athlete,1_1
2021-03-23,53.0,pro_athlete,1_1
2021-03-24,49.0,pro_athlete,1_1
2021-03-25,47.0,pro_athlete,1_1
2021-03-26,48.0,pro_athlete,1_1
2021-03-27,56.0,pro_athlete,1_1
2021-03-28,53.0,pro_athlete,1_1
2021-03-29,43.0,pro_athlete,1_1
2021-03-30,53.0,pro_athlete,1_1
2021-03-31,52.0,pro_athlete,1_1
2021-01-01,76.0,non_athlete,1_2
2021-01-02,76.0,non_athlete,1_2
2021-01-03,76.0,non_athlete,1_2
2021-01-04,76.0,non_athlete,1_2
2021-01-05,77.0,non_athlete,1_2
2021-01-06,75.0,non_athlete,1_2
2021-01-07,76.0,non_athlete,1_2
2021-01-08,76.0,non_athlete,1_2
2021-01-09,77.0,non_athlete,1_2
2021-01-10,77.0,non_athlete,1_2
2021-01-11,77.0,non_athlete,1_2
2021-01-12,75.0,non_athlete,1_2
2021-01-13,75.0,non_athlete,1_2
2021-01-14,76.0,non_athlete,1_2
2021-01-15,76.0,non_athlete,1_2
2021-01-16,77.0,non_athlete,1_2
2021-01-17,76.0,non_athlete,1_2
2021-01-18,75.0,non_athlete,1_2
2021-01-19,75.0,non_athlete,1_2
2021-01-20,76.0,non_athlete,1_2
2021-01-21,76.0,non_athlete,1_2
2021-01-22,75.0,non_athlete,1_2
2021-01-23,76.0,non_athlete,1_2
2021-01-24,75.0,non_athlete,1_2
2021-01-25,78.0,non_athlete,1_2
2021-01-26,76.0,non_athlete,1_2
2021-01-27,77.0,non_athlete,1_2
2021-01-28,75.0,non_athlete,1_2
2021-01-29,76.0,non_athlete,1_2
2021-01-30,77.0,non_athlete,1_2
2021-01-31,77.0,non_athlete,1_2
2021-02-01,74.0,non_athlete,1_2
2021-02-02,76.0,non_athlete,1_2
2021-02-03,76.0,non_athlete,1_2
2021-02-04,76.0,non_athlete,1_2
2021-02-05,77.0,non_athlete,1_2
2021-02-06,76.0,non_athlete,1_2
2021-02-07,77.0,non_athlete,1_2
2021-02-08,76.0,non_athlete,1_2
2021-02-09,76.0,non_athlete,1_2
2021-02-10,77.0,non_athlete,1_2
2021-02-11,76.0,non_athlete,1_2
2021-02-12,77.0,non_athlete,1_2
2021-02-13,76.0,non_athlete,1_2
2021-02-14,78.0,non_athlete,1_2
2021-02-15,75.0,non_athlete,1_2
2021-02-16,76.0,non_athlete,1_2
2021-02-17,76.0,non_athlete,1_2
2021-02-18,75.0,non_athlete,1_2
2021-02-19,77.0,non_athlete,1_2
2021-02-20,76.0,non_athlete,1_2
2021-02-21,76.0,non_athlete,1_2
2021-02-22,76.0,non_athlete,1_2
2021-02-23,76.0,non_athlete,1_2
2021-02-24,76.0,non_athlete,1_2
2021-02-25,75.0,non_athlete,1_2
2021-02-26,76.0,non_athlete,1_2
2021-02-27,78.0,non_athlete,1_2
2021-02-28,76.0,non_athlete,1_2
2021-03-01,77.0,non_athlete,1_2
2021-03-02,76.0,non_athlete,1_2
2021-03-03,75.0,non_athlete,1_2
2021-03-04,76.0,non_athlete,1_2
2021-03-05,76.0,non_athlete,1_2
2021-03-06,77.0,non_athlete,1_2
2021-03-07,76.0,non_athlete,1_2
2021-03-08,76.0,non_athlete,1_2
2021-03-09,77.0,non_athlete,1_2
2021-03-10,77.0,non_athlete,1_2
2021-03-11,77.0,non_athlete,1_2
2021-03-12,76.0,non_athlete,1_2
